24-05-10 16:54 Session started
19:37:16 127:012 > Clamp(1rem, 2.3vw, 1.5rem);

19:37:21 127:024 > 0
19:37:21 127:025 > 0.
19:37:21 127:026 > 0.3
19:37:22 127:025 > 0.3vw
19:37:29 127:018 > 1
19:37:31 127:018 > 13
19:37:31 127:019 > 13p
19:37:31 127:020 > 13px
19:37:32 127:018 > 36px
19:37:33 127:019 > p
19:37:33 127:020 > px
19:37:34 127:018 > 36px
19:37:39 127:030 > 4
19:37:40 127:031 > 4p
19:37:40 127:032 > 4px
19:37:40 127:030 > 4px
19:37:51 127:018 > 2
19:38:20 127:018 > 23
19:38:24 127:030 > 235
19:40:57 Document switched to: c:\Users\bahaa\Desktop\WebSlutProject\slutprojekt-TE22C-Baha-Fayad\Webbplats\hem.html
----------------------------------------
19:41:08 Document switched to: c:\Users\bahaa\Desktop\WebSlutProject\slutprojekt-TE22C-Baha-Fayad\Webbplats\kontakta-oss.html
----------------------------------------
19:41:09 Document switched to: c:\Users\bahaa\Desktop\WebSlutProject\slutprojekt-TE22C-Baha-Fayad\Webbplats\leveransplaner.html
----------------------------------------
19:41:10 Document switched to: c:\Users\bahaa\Desktop\WebSlutProject\slutprojekt-TE22C-Baha-Fayad\Webbplats\om-oss.html
----------------------------------------
19:41:11 Document switched to: c:\Users\bahaa\Desktop\WebSlutProject\slutprojekt-TE22C-Baha-Fayad\Webbplats\leveransplaner.html
----------------------------------------
19:41:11 Document switched to: c:\Users\bahaa\Desktop\WebSlutProject\slutprojekt-TE22C-Baha-Fayad\Webbplats\kontakta-oss.html
----------------------------------------
19:41:11 Document switched to: c:\Users\bahaa\Desktop\WebSlutProject\slutprojekt-TE22C-Baha-Fayad\Webbplats\hem.html
----------------------------------------
19:41:12 Document switched to: c:\Users\bahaa\Desktop\WebSlutProject\slutprojekt-TE22C-Baha-Fayad\Webbplats\kontakta-oss.html
----------------------------------------
19:41:13 Document switched to: c:\Users\bahaa\Desktop\WebSlutProject\slutprojekt-TE22C-Baha-Fayad\Webbplats\hem.html
----------------------------------------
19:42:03 Document switched to: c:\Users\bahaa\Desktop\WebSlutProject\slutprojekt-TE22C-Baha-Fayad\Webbplats\style.css
----------------------------------------

19:42:12 115:013 > 1
19:42:37 115:013 > 13

19:43:26 110:004 > b
19:43:26 110:005 > bo
19:43:26 110:006 > bor
19:43:27 110:007 > borr
19:43:27 110:008 > borra
19:43:27 110:004 > border-radius: ;
19:43:28 110:019 > 3
19:43:29 110:020 > 3p
19:43:29 110:021 > 3px
19:43:29 110:019 > 3px

19:45:13 158:000 > @
19:45:13 158:001 > @m
19:45:13 158:002 > @me
19:45:14 158:003 > @med
19:45:16 158:000 > @media
19:45:16 158:006 > ()
19:45:17 158:007 > m
19:45:17 158:008 > mi
19:45:17 158:009 > min
19:45:19 158:010 > min-
19:45:20 158:011 > min-s
19:45:20 158:012 > min-si
19:45:20 158:013 > min-siz
19:45:20 158:014 > min-size
19:45:22 158:015 > min-size:
19:45:46 158:007 > min-size:m
19:45:47 158:008 > min-size:mi
19:45:47 158:009 > min-size:min
19:45:48 158:010 > min-size:min -
19:45:51 158:011 > min-size:min -w
19:45:51 158:011 > min-size:min -wi
19:45:52 158:012 > min-size:min -wid
19:45:52 158:011 > min-size:min -widw
19:45:52 158:012 > min-size:min -widwi
19:45:53 158:013 > min-size:min -widwid
19:45:53 158:014 > min-size:min -widwidr
19:45:53 158:015 > min-size:min -widwidrt
19:45:53 158:016 > min-size:min -widwidrth
19:45:54 158:014 > min-size:min -widwidrtht
19:45:54 158:015 > min-size:min -widwidrthth
19:45:55 158:017 > min-size:min -widwidrthth :
19:45:56 158:016 > min-size:min -widwidrthth ::
19:46:06 158:018 > min-size:min -widwidrthth ::  7
19:46:07 158:019 > min-size:min -widwidrthth ::  70
19:46:07 158:020 > min-size:min -widwidrthth ::  700
19:46:08 158:021 > min-size:min -widwidrthth ::  700p
19:46:08 158:022 > min-size:min -widwidrthth ::  700px
19:46:11 159:000 > {}
19:46:17 158:008 > a
19:46:17 158:009 > ax
19:46:59 160:004 > .kontainer nav {
    display: flex;
    align-items: center;
    grid-area: Nav;
    padding: 15px;
}

19:47:11 161:008 > d
19:47:12 161:009 > di
19:47:12 161:010 > dis
19:47:12 161:011 > disp
19:47:13 161:012 > dispd
19:47:14 161:008 > dispdf
19:47:14 161:009 > dispdfl
19:47:14 161:010 > dispdfle
19:47:15 161:011 > dispdflex
19:47:15 161:008 > flex: ;
19:47:15 161:014 > d
19:47:16 161:015 > di
19:47:16 161:014 > did
19:47:17 161:015 > didi
19:47:18 161:012 > didi-
19:47:18 161:013 > didi-d
19:47:18 161:014 > didi-di
19:47:18 161:008 > flex-direction:
19:47:21 161:024 > column

19:47:27 159:008 > i
19:47:29 159:009 > in
19:47:55 159:008 > ina
19:47:56 159:009 > inax
19:48:40 161:000 > .kontainer .alternativ {
    flex-grow: 1;
    display: flex;
    justify-content: center;
}

19:48:42 162:008 > f
19:48:43 162:009 > fl
19:48:43 162:010 > fle
19:48:43 162:011 > flex
19:48:43 162:012 > flexd
19:48:43 162:013 > flexdi
19:48:44 162:008 > flex-direction: ;
19:48:44 162:024 > column
19:49:30 164:004 > .kontainer nav {
    display: flex;
    align-items: center;
    grid-area: Nav;
    padding: 15px;
}

19:49:36 161:026 > ,
19:49:36 161:027 > .kontainer nav

19:49:44 163:008 > g
19:49:44 163:009 > ga
19:49:45 163:010 > gap
19:49:45 163:008 > gap: ;
19:49:46 163:013 > 1
19:49:46 163:014 > 10
19:49:46 163:015 > 10p
19:49:46 163:016 > 10px

19:51:00 113:009 > 4
19:51:01 113:010 > 40
19:51:08 113:009 > 50
19:51:12 113:009 > 1
19:51:12 113:010 > 10
19:51:19 113:009 > 105
19:51:19 113:010 > 1050
19:51:28 113:009 > 10508
19:51:28 113:010 > 105080
19:51:53 113:009 > 50

19:54:49 114:010 > 2
19:54:50 114:011 > 20
19:54:53 114:010 > 50
19:56:19 165:004 > .kontainer main .alternativ-kontainer {
    color: var(--dark-green);
    border-radius: 3px;
    font-size: Clamp(1rem, 2.3vw, 1.5rem);
    position: absolute;
    top: 50%;
    left: 50%;
    transform: translate(-50%, -50%);
    padding: 3%;
    text-align: center;
    border: solid 5px var(--sea-green);
    background-color: rgba(149, 213, 178, 0.6);
}

19:56:27 169:018 > r
19:56:28 169:019 > re
19:56:29 169:018 > relative

19:57:32 166:018 > b
19:57:33 166:019 > bl
19:57:33 166:020 > blo
19:57:33 166:021 > bloc
19:57:36 166:016 > bloc:
19:57:37 166:017 > bloc:b
19:57:37 166:018 > bloc:bl
19:57:37 166:019 > bloc:blo
19:57:39 166:008 > bloc:blod
19:57:39 166:009 > bloc:blodi
19:57:39 166:010 > bloc:blodis
19:57:39 166:008 > display:
19:57:40 166:017 > b
19:57:41 166:017 > bl
19:57:42 166:017 > blb
19:57:42 166:018 > blbl
19:57:42 166:017 > block

19:57:53 167:008 > p
19:57:53 167:009 > pp
19:57:54 167:009 > ppo
19:57:54 167:010 > ppos
19:57:54 167:008 > position: relative;
19:57:58 167:016 > :
19:58:05 167:017 > relative
19:59:45 Document switched to: c:\Users\bahaa\Desktop\WebSlutProject\slutprojekt-TE22C-Baha-Fayad\Webbplats\hem.html
----------------------------------------
19:59:50 Document switched to: c:\Users\bahaa\Desktop\WebSlutProject\slutprojekt-TE22C-Baha-Fayad\Webbplats\style.css
----------------------------------------
20:00:01 170:004 > .kontainer main .innehåll {
    font-size: 19px;
    position: relative;
}

20:00:03 172:018 > b
20:00:04 172:019 > bl
20:00:04 172:020 > blo
20:00:04 172:021 > bloc
20:00:05 172:022 > block
20:00:09 172:018 > blockc
20:00:10 172:018 > blockcb
20:00:10 172:019 > blockcbl
20:00:10 172:020 > blockcblo
20:00:10 172:021 > blockcbloc
20:00:11 172:022 > blockcblock

20:00:37 171:008 > d
20:00:37 171:009 > di
20:00:37 171:010 > dis
20:00:38 171:008 > display: ;
20:00:38 171:018 >  g
20:00:38 171:019 >  gr
20:00:39 171:017 >  grg
20:00:39 171:018 >  grgr
20:00:39 171:017 > grid
20:00:55 165:004 > .kontainer main .alternativ-kontainer {
        display: block;
        position:relative;
        
    }
20:01:06 167:000 > position:relative;
20:04:01 Document switched to: c:\Users\bahaa\Desktop\WebSlutProject\slutprojekt-TE22C-Baha-Fayad\Webbplats\hem.html
----------------------------------------
20:04:05 Document switched to: c:\Users\bahaa\Desktop\WebSlutProject\slutprojekt-TE22C-Baha-Fayad\Webbplats\kontakta-oss.html
----------------------------------------

20:04:13 026:012 > i
20:04:13 026:013 > in
20:04:13 026:014 > inp
20:04:14 026:015 > inpu
20:04:14 026:016 > input
20:04:14 026:012 > <input type="text">
20:04:17 026:025 > t
20:04:17 026:026 > te
20:04:17 026:027 > tex
20:04:19 026:024 > tex"
20:04:26 026:025 > tex"n
20:04:26 026:025 > number
20:04:27 026:025 > n
20:04:27 026:026 > na
20:04:27 026:027 > nam
20:04:29 026:024 > nam"
20:04:36 026:025 > text
20:04:39 026:031 > >
20:05:19 026:012 > <form action="/action_page.php">
  <label for="fname">First name:</label>
  <input type="text" id="fname" name="fname"><br><br>
  <label for="lname">Last name:</label>
  <input type="text" id="lname" name="lname"><br><br>
  <input type="submit" value="Submit">
</form>
20:05:44 031:016 > <label for="lname">Last name:</label>
                <input type="text" id="lname" name="lname"><br><br>

20:06:11 031:028 > e
20:06:11 031:029 > em
20:06:11 031:030 > ema
20:06:11 031:031 > emai
20:06:12 031:032 > email
20:06:15 031:035 > emailE
20:06:16 031:036 > emailEm
20:06:16 031:037 > emailEma
20:06:16 031:038 > emailEmai
20:06:16 031:039 > emailEmail

20:06:31 032:039 > e
20:06:31 032:040 > em
20:06:31 032:041 > ema
20:06:32 032:039 > email
20:06:37 032:052 > e
20:06:37 032:053 > em
20:06:37 032:054 > ema
20:06:37 032:055 > emai
20:06:37 032:056 > email
20:06:39 032:052 > email

20:07:06 033:016 > <
20:07:07 033:017 > <i
20:07:08 033:018 > <in
20:07:08 033:019 > <inp
20:07:08 033:017 > input
20:07:09 033:023 >  t
20:07:09 033:024 >  ty
20:07:10 033:025 >  typ
20:07:10 033:023 > type=""
20:07:11 033:029 > t
20:07:11 033:030 > te
20:07:11 033:031 > ted
20:07:12 033:031 > tedx
20:07:12 033:032 > tedxt
20:07:12 033:033 > tedxta
20:07:12 033:034 > tedxtar
20:07:13 033:035 > tedxtare
20:07:13 033:036 > tedxtarea
20:07:16 033:036 > tedxtareaa
20:07:18 033:031 > tedxtareaax
20:07:19 033:032 > tedxtareaaxt
20:07:19 033:029 > text
20:07:26 033:016 > <label for="email">Email:</label>
                <input type="text" id="email" name="email"><br><br>

20:07:29 034:029 > t
20:07:29 034:030 > te
20:07:30 034:031 > tex
20:07:30 034:032 > text
20:07:30 034:033 > texta
20:07:30 034:034 > textar
20:07:30 034:035 > textare
20:07:31 034:036 > textarea
20:07:45 034:071 > textarea>
20:07:45 034:016 > textarea><
20:07:48 034:016 > textarea><<
20:07:48 034:017 > textarea><<t
20:07:48 034:018 > textarea><<te
20:07:49 034:019 > textarea><<tex
20:07:49 034:017 > textarea
20:07:50 034:025 > >
20:07:50 034:026 > </textarea>

20:08:02 033:035 > E
20:08:02 033:036 > En
20:08:05 033:035 > EnL
20:08:05 033:036 > EnLe
20:08:06 033:037 > EnLet
20:08:06 033:038 > EnLett
20:08:06 033:039 > EnLette
20:08:06 033:040 > EnLetter
20:08:07 033:041 > EnLetter:
20:08:16 033:035 > EnLetter:K
20:08:17 033:036 > EnLetter:Ko
20:08:17 033:037 > EnLetter:Kon
20:08:17 033:038 > EnLetter:Kont
20:08:17 033:039 > EnLetter:Konta
20:08:17 033:040 > EnLetter:Kontak
20:08:18 033:041 > EnLetter:Kontakt
20:08:19 033:043 > EnLetter:Kontakt O
20:08:20 033:044 > EnLetter:Kontakt Or
20:08:20 033:045 > EnLetter:Kontakt Ora
20:08:20 033:045 > EnLetter:Kontakt Oras
20:08:35 033:035 > EnLetter:Kontakt Orast
20:08:35 033:036 > EnLetter:Kontakt Oraste
20:08:36 033:037 > EnLetter:Kontakt Orastex
20:08:36 033:038 > EnLetter:Kontakt Orastext
20:08:40 033:035 > EnLetter:Kontakt Orastextd
20:08:40 033:036 > EnLetter:Kontakt Orastextdi
20:08:40 033:037 > EnLetter:Kontakt Orastextdin
20:08:41 033:039 > EnLetter:Kontakt Orastextdin h
20:08:41 033:040 > EnLetter:Kontakt Orastextdin ho
20:08:41 033:041 > EnLetter:Kontakt Orastextdin hoe
20:08:46 033:035 > EnLetter:Kontakt Orastextdin hoen
20:08:46 033:036 > EnLetter:Kontakt Orastextdin hoeni
20:08:46 033:037 > EnLetter:Kontakt Orastextdin hoenig
20:08:46 033:038 > EnLetter:Kontakt Orastextdin hoenigg
20:08:46 033:039 > EnLetter:Kontakt Orastextdin hoenigga
20:09:02 Document switched to: c:\Users\bahaa\Desktop\WebSlutProject\slutprojekt-TE22C-Baha-Fayad\Webbplats\style.css
----------------------------------------

20:09:31 101:004 > m
20:09:31 101:005 > ma
20:09:31 101:006 > mar
20:09:31 101:007 > marg
20:09:31 101:004 > margin: ;
20:09:32 101:012 > 0
20:09:36 101:014 > 0 a
20:09:36 101:014 > auto
20:09:38 101:019 >  0
20:09:40 101:021 >  0 a
20:09:40 101:022 >  0 au
20:09:40 101:021 > auto
20:10:31 101:004 > j
20:10:31 101:005 > ju
20:10:31 101:006 > jus
20:10:32 101:004 > justify-content: ;
20:10:34 101:021 > c
20:10:34 101:022 > ce
20:10:34 101:021 > center
20:10:36 101:021 > ce
20:10:36 101:004 > jus
20:10:39 101:004 > v
20:10:39 101:005 > ve
20:10:39 101:006 > ver
20:10:40 101:007 > vert
20:10:40 101:004 > vertical-align: ;
20:10:41 101:020 > c
20:10:41 101:021 > ce
20:10:41 101:020 > var(--celadon)
20:10:43 101:020 > c
20:10:44 101:018 > c:
20:10:47 101:019 > middle
20:11:09 101:004 > g
20:11:09 101:005 > gs
20:11:09 101:006 > gsp
20:11:10 101:005 > gspa
20:11:10 101:006 > gspao
20:11:10 101:006 > gspaop
20:11:12 101:007 > gspaop :
20:11:12 101:009 > gspaop : 1
20:11:12 101:010 > gspaop : 10
20:11:13 101:011 > gspaop : 10p
20:11:13 101:012 > gspaop : 10px
20:11:16 101:009 > gspaop : 10pxa
20:11:17 101:010 > gspaop : 10pxau
20:11:17 101:011 > gspaop : 10pxaut
20:11:17 101:012 > gspaop : 10pxauto
20:11:18 101:013 > gspaop : 10pxauto;
20:12:10 101:004 > grid-area: Main;
    /* Add this */
    display: flex;
    justify-content: center;
    align-items: center;
20:14:33 102:000 > .kontainer main {
    grid-area: Main;
}

20:14:36 102:016 > f
20:14:36 102:017 > fo
20:14:36 102:018 > for
20:14:36 102:019 > form
20:14:36 102:016 > form

20:14:39 103:004 > m
20:14:39 103:005 > ma
20:14:39 103:006 > mar
20:14:39 103:007 > marg
20:14:40 103:004 > margin: ;
20:14:40 103:012 > 1
20:14:41 103:012 > 1a
20:14:42 103:012 > auto
20:16:25 101:004 > display: flex;
    justify-content: center;
    align-items: center;
20:16:36 054:004 > min-height: 100vh;
    justify-content: space-between; /* Pushes items to the top and bottom */
20:17:05 049:016 > "Header"
20:17:12 050:013 > "Nav"
20:17:23 051:014 > "Main"
20:17:29 052:016 > Footer"
20:20:25 Document switched to: c:\Users\bahaa\Desktop\WebSlutProject\slutprojekt-TE22C-Baha-Fayad\Webbplats\kontakta-oss.html
----------------------------------------

20:20:26 033:035 > K
20:20:26 033:036 > Ko
20:20:26 033:037 > Kom
20:20:26 033:038 > Komm
20:20:26 033:039 > Komme
20:20:26 033:040 > Kommen
20:20:27 033:041 > Komment
20:20:27 033:042 > Kommenta
20:20:27 033:043 > Kommentar
20:20:28 033:044 > Kommentar:
20:20:33 033:028 > Kommentar:k
20:20:33 033:029 > Kommentar:ko
20:20:33 033:030 > Kommentar:kom
20:20:33 033:031 > Kommentar:komm
20:20:34 033:032 > Kommentar:komme
20:20:34 033:033 > Kommentar:kommen
20:20:34 033:034 > Kommentar:komment
20:20:34 033:035 > Kommentar:kommenta
20:20:34 033:036 > Kommentar:kommentar
20:20:35 033:028 > Kommentar
20:20:51 034:026 > type="text" id="email" name="email"

20:20:55 034:042 > k
20:20:55 034:043 > ko
20:20:56 034:044 > kom
20:20:56 034:045 > komm
20:20:56 034:046 > komme
20:20:57 034:047 > kommen
20:20:57 034:048 > komment
20:20:57 034:049 > kommenta
20:20:57 034:050 > kommentar
20:20:58 034:042 > Kommentar
20:21:01 034:059 > k
20:21:01 034:060 > ko
20:21:01 034:061 > kom
20:21:02 034:062 > komm
20:21:02 034:063 > komme
20:21:02 034:064 > kommen
20:21:02 034:065 > komment
20:21:02 034:066 > kommenta
20:21:02 034:067 > kommentar
20:21:02 034:059 > Kommentar

20:21:05 032:029 > e
20:21:06 032:029 > email

20:21:16 027:035 > F
20:21:16 027:036 > Fö
20:21:17 027:037 > För
20:21:19 027:041 > Förn

20:21:23 029:035 > E
20:21:23 029:036 > Ef
20:21:24 029:037 > Eft
20:21:24 029:038 > Efte
20:21:24 029:039 > Efter
20:21:26 029:043 > Eftern

20:21:35 035:044 > S
20:21:35 035:045 > Sk
20:21:35 035:046 > Ski
20:21:35 035:047 > Skic
20:21:35 035:048 > Skick
20:21:35 035:049 > Skicka
20:24:33 Document switched to: c:\Users\bahaa\Desktop\WebSlutProject\slutprojekt-TE22C-Baha-Fayad\Webbplats\style.css
----------------------------------------
20:25:23 102:004 > display: flex;
    justify-content: center;
    align-items: center;
    height: calc(100vh - (headerHeight + navHeight)); /* Adjust headerHeight and navHeight according to your design */
    position: absolute;
    top: 50%;
    left: 0;
    right: 0;
    transform: translateY(-50%);
20:25:49 054:004 > min-height: 100vh;
    position: relative

20:26:01 054:004 > X
20:26:02 054:004 > min-height: 100vh;
20:26:33 101:004 > min-height: 100vh;

20:26:47 101:004 > d
20:26:47 101:005 > di
20:26:47 101:006 > dis
20:26:48 101:004 > display: ;
20:26:48 101:013 > block

20:26:56 102:004 > m
20:26:56 102:005 > ma
20:26:56 102:006 > mar
20:26:56 102:007 > marg
20:26:57 102:004 > margin: ;
20:26:57 102:012 > 1
20:26:58 102:013 > 10
20:26:58 102:013 > 100
20:26:58 102:014 > 1000
20:26:59 102:015 > 1000p
20:26:59 102:016 > 1000px
20:26:59 102:012 > 100px
20:27:05 102:012 > 5
20:27:05 102:013 > 50
20:27:06 102:014 > 50%
20:27:07 102:012 > 50%
20:27:10 102:011 > a
20:27:10 102:011 > auto
20:27:16 102:011 > 1
20:27:16 102:012 > 10
20:27:18 102:011 > 103
20:27:18 102:012 > 1030
20:27:19 102:013 > 1030%
20:27:22 102:011 > 1030%1
20:27:22 102:012 > 1030%10
20:27:22 102:013 > 1030%10%
20:32:19 Document switched to: c:\Users\bahaa\Desktop\WebSlutProject\slutprojekt-TE22C-Baha-Fayad\Webbplats\kontakta-oss.html
----------------------------------------

20:32:21 030:028 > "
20:32:24 030:029 > "n
20:32:31 030:029 > "nt
20:32:31 030:030 > "nte
20:32:31 030:031 > "ntex
20:32:32 030:029 > text
20:32:57 Document switched to: c:\Users\bahaa\Desktop\WebSlutProject\slutprojekt-TE22C-Baha-Fayad\Webbplats\style.css
----------------------------------------

20:33:00 101:004 > p
20:33:00 101:005 > po
20:33:00 101:006 > pos
20:33:02 101:004 > position: ;
20:33:03 101:014 > c
20:33:03 101:015 > ce
20:33:04 101:004 > ced
20:33:05 101:005 > cedi
20:33:05 101:006 > cedis
20:33:06 101:004 > display:
20:33:09 101:013 > flexbox
20:33:12 101:004 > dis
20:33:13 101:004 > +
20:33:48 101:004 > display: flex;
    justify-content: center;
    align-items: center;
    margin-top: auto; /* Push main content to the center vertically */
20:34:22 054:004 > min-height: 100vh; /* Ensure at least viewport height */
    position: relative;
20:35:46 107:004 > height: 100%; /* Take up all available vertical space */
20:35:54 109:000 > .kontainer header,
.kontainer nav,
.kontainer footer {
    /* Add this */
    flex: 0 0 auto; /* Allow items to take up only the space they need */

20:35:58 114:000 > }

20:36:18 109:002 > I
20:36:21 109:002 > height: 100%;
    /* Take up all available vertical space */
20:38:08 073:000 > padding: 15px;

20:39:10 054:016 > 5
20:39:10 054:017 > 50
20:39:19 054:016 > 502
20:39:20 054:017 > 5020
20:39:20 054:018 > 50200
20:39:26 054:016 > 502001
20:39:26 054:017 > 5020010
20:39:26 054:018 > 50200100

20:39:57 056:014 > c
20:39:57 056:015 > ce
20:39:58 056:012 > ce:
20:40:01 056:013 > fixed
